Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,1/24/23 20:43,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,1.16,39459.6,1.007,49439.4,104,104.2,8.62,1.466,31.82,48705.8,3.38,31659,-0.21,0,1.222,NA,-85.3,15.075,1.007,5.64,0
,,,STANDARD DEVIATION:,0.71,1714.3,0.087,1986.6,6,6,0.51,0.127,1.28,1952.3,2.14,1269,0.6,0,0.005,0.04,2.2,0.951,0.087,0.02,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,19F100562,18E100635,13F100485,18E100635,13G102102,13G102102,13G102102,13F100485,18E100635,18E100635,19F100562,18E100635,13G101467,13G101467,18L109076,13G102286,13G102286,18E100635,13F100485,13H101026,13H101026
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
10/11/22,17:00:00,0,Deployment Site,0.59,40259.9,1.02,49846.9,113.7,113.9,9.31,1.486,32.14,49127.4,1.71,31933,-0.41,0,1.228,8.05,-84.8,15.55,1.019,5.58,0
10/11/22,18:00:00,0,Deployment Site,1.12,40216.2,1.021,49905.5,116.5,116.7,9.56,1.487,32.17,49180.6,1.7,31967,-0.39,0,1.224,8.08,-86.4,15.457,1.021,5.61,0
10/11/22,19:00:00,0,Deployment Site,1.23,40162.7,1.025,49921.6,120.2,120.4,9.87,1.492,32.18,49193.2,5.34,31976,-0.36,0,1.231,8.12,-88.5,15.389,1.025,5.62,0
10/11/22,20:00:00,0,Deployment Site,1,40086.6,1.02,49924.5,122.3,122.5,10.06,1.486,32.18,49192.3,2.91,31975,-0.26,0,1.233,8.13,-89.3,15.309,1.02,5.65,0
10/11/22,21:00:00,0,Deployment Site,1.55,40121.5,1.026,49936.4,125.1,125.4,10.29,1.494,32.19,49205.2,4.48,31983,-0.26,0,1.221,8.15,-90.5,15.335,1.026,5.65,0
10/11/22,22:00:00,0,Deployment Site,1.46,40086.4,1.028,49925.1,123.2,123.4,10.14,1.497,32.18,49192.8,10.14,31975,-0.15,0,1.223,8.15,-90.3,15.308,1.028,5.65,0
10/11/22,23:00:00,0,Deployment Site,1.96,40051,1.027,49916.3,122,122.2,10.04,1.496,32.17,49182.7,4.94,31969,-0.11,0,1.223,8.14,-90.1,15.279,1.027,5.65,0
10/12/22,0:00:00,0,Deployment Site,1.32,40031.4,1.024,49915.9,121.1,121.3,9.97,1.491,32.17,49181.4,5.33,31968,-0.11,0,1.216,8.14,-89.9,15.259,1.022,5.65,0
10/12/22,1:00:00,0,Deployment Site,2.06,39946.5,1.023,49910.7,117,117.2,9.66,1.489,32.16,49172.4,4.01,31962,-0.16,0,1.225,8.13,-89,15.177,1.023,5.65,0
10/12/22,2:00:00,0,Deployment Site,2.62,39957.8,1.02,49904.8,116.5,116.7,9.6,1.485,32.16,49167.3,2.78,31959,-0.33,0,1.218,8.12,-88.8,15.193,1.02,5.65,0
10/12/22,3:00:00,0,Deployment Site,1.04,39924.8,1.017,49866.7,114.5,114.7,9.45,1.481,32.13,49129.7,2.14,31934,-0.33,0,1.228,8.11,-88.3,15.191,1.016,5.65,0
10/12/22,4:00:00,0,Deployment Site,1.02,39937.8,1.017,49906.1,113.6,113.8,9.37,1.481,32.16,49167.7,1.61,31959,-0.38,0,1.224,8.11,-87.9,15.172,1.018,5.65,0
10/12/22,5:00:00,0,Deployment Site,1.46,39917.7,1.018,49905,113.9,114.1,9.4,1.482,32.16,49165.7,2.16,31958,0,0,1.223,8.11,-88.3,15.152,1.019,5.65,0
10/12/22,6:00:00,0,Deployment Site,0.77,39856.8,1.023,49915.4,113.2,113.4,9.36,1.489,32.16,49172.6,3.55,31962,-0.25,0,1.213,8.11,-88.1,15.081,1.023,5.65,0
10/12/22,7:00:00,0,Deployment Site,1.77,39778.9,1.022,49905.6,113.8,114,9.42,1.489,32.15,49159.8,3.91,31954,-0.26,0,1.225,8.12,-88.4,15.009,1.022,5.66,0
10/12/22,8:00:00,0,Deployment Site,2.5,39748.4,1.022,49908.5,113.4,113.6,9.4,1.488,32.15,49161.1,4.17,31955,0.11,0,1.217,8.11,-88.3,14.976,1.022,5.65,0
10/12/22,9:00:00,0,Deployment Site,0.56,39736.9,1.025,49892.5,110.5,110.7,9.15,1.492,32.14,49145.4,1.98,31944,-0.33,0,1.224,8.09,-87.2,14.977,1.025,5.66,0
10/12/22,10:00:00,0,Deployment Site,0.58,39797,1.025,49873.4,111.5,111.7,9.22,1.492,32.13,49130.1,2,31935,-0.36,0,1.213,8.1,-87.4,15.054,1.017,5.65,0
10/12/22,11:00:00,0,Deployment Site,0.44,39959.5,1.024,49875.3,113.2,113.4,9.33,1.492,32.14,49139.6,1.63,31941,-0.32,0,1.224,8.1,-87.6,15.219,1.024,5.66,0
10/12/22,12:00:00,0,Deployment Site,0.57,40007.9,1.019,49879,113.9,114.1,9.38,1.483,32.14,49145.3,2,31944,-0.32,0,1.213,8.1,-87.5,15.266,1.021,5.66,0
10/12/22,13:00:00,0,Deployment Site,0.52,40103.7,1.011,49868.7,114.5,114.7,9.41,1.472,32.14,49140.3,1.89,31941,-0.31,0,1.214,8.1,-87.6,15.372,1.011,5.65,0
10/12/22,14:00:00,0,Deployment Site,0.8,40162.2,1.001,49863.4,114.7,114.9,9.41,1.458,32.14,49138.2,4,31940,-0.31,0,1.225,8.1,-87.7,15.436,0.999,5.66,0
10/12/22,15:00:00,0,Deployment Site,0.8,40482.3,0.999,49809.9,114.5,114.7,9.33,1.454,32.12,49103.9,2.36,31918,-0.34,0,1.219,8.1,-87.9,15.807,0.998,5.65,0
10/12/22,16:00:00,0,Deployment Site,0.8,40625.2,0.996,49829.6,116,116.2,9.42,1.449,32.15,49129.9,2.1,31934,-0.2,0,1.222,8.1,-88,15.937,0.997,5.66,0
10/12/22,17:00:00,0,Deployment Site,0.93,40554.7,0.993,49843.6,118.7,118.9,9.66,1.445,32.15,49139.4,2.23,31941,-0.36,0,1.214,8.13,-89.2,15.854,0.991,5.67,0
