"year","station","length","age","strata2","month","day","avgdepth","region","cruise6","lat","lon","depth","stratum","regf","area"
1982,106,138,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,197,15,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,159,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,175,18,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,173,26,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,146,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,173,14,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,153,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,182,13,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,171,12,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,170,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,147,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,170,15,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,171,15,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,76,3,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,161,28,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,124,4,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,178,14,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,167,7,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,180,21,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,174,23,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,106,135,6,"13",8,1,28,"SVAtoSNE",198204,38.3833,74.6167,27,"3S","SVAtoSNE","SVAtoSNE"
1982,109,166,10,"85",8,2,14,"SVAtoSNE",198204,38.3833,74.8333,14,"2S","SVAtoSNE","SVAtoSNE"
1982,109,93,3,"85",8,2,14,"SVAtoSNE",198204,38.3833,74.8333,14,"2S","SVAtoSNE","SVAtoSNE"
1982,109,160,14,"85",8,2,14,"SVAtoSNE",198204,38.3833,74.8333,14,"2S","SVAtoSNE","SVAtoSNE"
1982,109,167,13,"85",8,2,14,"SVAtoSNE",198204,38.3833,74.8333,14,"2S","SVAtoSNE","SVAtoSNE"
1982,109,182,18,"85",8,2,14,"SVAtoSNE",198204,38.3833,74.8333,14,"2S","SVAtoSNE","SVAtoSNE"
1982,109,172,21,"85",8,2,14,"SVAtoSNE",198204,38.3833,74.8333,14,"2S","SVAtoSNE","SVAtoSNE"
