"","x"
"1",1.44003891944885
"2",1.36476397514343
"3",1.29241228103638
"4",1.3489146232605
"5",1.45209312438965
"6",1.46667098999023
"7",1.38572430610657
"8",1.33239769935608
"9",1.38169038295746
"10",1.47360825538635
"11",1.50194728374481
"12",1.42683386802673
"13",1.36994445323944
"14",1.35860252380371
"15",1.33409297466278
"16",1.37959921360016
"17",1.39078855514526
"18",1.4497309923172
"19",1.55654895305634
"20",1.55754685401917
"21",1.57473123073578
"22",1.62866520881653
"23",1.6484295129776
"24",1.64927279949188
"25",1.66790807247162
"26",1.69283735752106
"27",1.64534652233124
"28",1.50567710399628
"29",1.46905648708344
"30",1.56106233596802
"31",1.60038387775421
"32",1.59265434741974
"33",1.58345293998718
"34",1.59205770492554
"35",1.64037358760834
"36",1.6714882850647
"37",1.68571484088898
"38",1.71036267280579
"39",1.645423412323
"40",1.42818367481232
"41",1.32591187953949
"42",1.24786329269409
"43",1.12948334217072
"44",1.0780131816864
"45",1.10046136379242
"46",1.16279268264771
"47",1.27023351192474
"48",1.3563129901886
"49",1.42236256599426
"50",1.4587287902832
"51",1.41453671455383
"52",1.31668710708618
"53",1.1543869972229
"54",0.933505833148956
"55",0.835376501083374
"56",0.988005757331848
"57",1.11281764507294
"58",1.21698331832886
"59",1.31958067417145
"60",1.43413186073303
"61",1.46208429336548
"62",1.35704159736633
"63",1.25650024414062
"64",1.21847319602966
"65",1.1407630443573
"66",1.05424320697784
"67",1.03918564319611
"68",0.988035798072815
"69",0.895093142986298
"70",0.872885942459106
"71",0.895829856395721
"72",0.880823910236359
"73",0.804795384407043
"74",0.785000383853912
"75",0.755793869495392
"76",0.896484196186066
"77",0.939019083976746
"78",0.903763592243195
"79",0.926660060882568
"80",0.930584490299225
"81",0.949066460132599
"82",0.963096022605896
"83",0.957225918769836
"84",0.889584362506866
"85",0.832024931907654
"86",0.764897346496582
"87",0.643299341201782
"88",0.557020843029022
"89",0.524365127086639
"90",0.579848229885101
"91",0.686285436153412
"92",0.754254698753357
"93",0.750230252742767
"94",0.87004941701889
"95",1.04925096035004
"96",1.04402136802673
"97",1.05173122882843
"98",1.19467425346375
"99",1.29512524604797
"100",1.30029010772705
"101",1.30319619178772
"102",1.2571347951889
"103",1.18886256217957
"104",1.23934829235077
"105",1.32790780067444
"106",1.2713063955307
"107",1.29273664951324
"108",1.48901164531708
"109",1.64647698402405
"110",1.77629566192627
"111",1.86665403842926
"112",1.93282222747803
"113",2.02073836326599
"114",2.00285840034485
"115",1.95192587375641
"116",2.06428027153015
"117",2.18729519844055
"118",2.29855942726135
"119",2.31043577194214
"120",2.32536888122559
"121",2.21379113197327
"122",2.13493967056274
"123",2.18295621871948
"124",2.17587685585022
"125",2.27081036567688
"126",2.27953958511353
"127",2.07194232940674
"128",1.82999837398529
"129",1.70954895019531
"130",1.67337334156036
"131",1.61844146251678
"132",1.62175798416138
"133",1.72861647605896
"134",1.79227554798126
"135",1.73977220058441
"136",1.64174234867096
"137",1.45629405975342
"138",1.23891592025757
"139",1.05926430225372
"140",0.960900962352753
"141",1.12428140640259
"142",1.49278974533081
"143",1.97828674316406
"144",2.37899661064148
"145",2.47225427627563
"146",2.19624328613281
"147",1.83968162536621
"148",1.83972597122192
"149",1.82576537132263
"150",1.75206077098846
"151",1.85647439956665
"152",1.77288091182709
"153",1.79481816291809
"154",1.93080484867096
"155",2.04017972946167
"156",2.10600090026855
"157",2.07694220542908
"158",1.93325901031494
"159",1.91345870494843
"160",2.09328675270081
"161",2.20320010185242
"162",2.21501111984253
"163",2.19599723815918
"164",2.20481944084167
"165",2.23907160758972
"166",2.3453221321106
"167",2.42573761940002
"168",2.36039257049561
"169",2.34061813354492
"170",2.26517128944397
"171",2.23236179351807
"172",2.09386467933655
"173",2.0756778717041
"174",2.02715706825256
"175",2.10632276535034
"176",2.28491973876953
"177",2.46113634109497
"178",2.56357836723328
"179",2.58325695991516
"180",2.7276873588562
"181",2.68658041954041
"182",2.65953993797302
"183",2.66283655166626
"184",2.58039855957031
"185",2.48682308197021
"186",2.47569131851196
"187",2.411860704422
"188",2.36552548408508
"189",2.43745851516724
"190",2.61798691749573
"191",2.75819182395935
"192",2.85034227371216
"193",2.94325661659241
"194",2.94353032112122
"195",2.7953736782074
"196",2.77925825119019
"197",2.82460880279541
"198",2.6863956451416
"199",2.54087162017822
"200",2.37371611595154
"201",2.24988746643066
"202",2.35554528236389
"203",2.64780831336975
"204",2.63818979263306
"205",2.71831250190735
"206",2.95869016647339
"207",3.24837398529053
"208",3.27831482887268
"209",3.07706809043884
"210",2.63080596923828
"211",2.46122360229492
