"","datetime","Temp.mx","Sal.mx","DO_pct.mx","DO_mgl.mx","Depth.mx","pH.mx","Turb.mx","ChlFluor.mx","Temp","Sal","DO_pct","DO_mgl","Depth","pH","Turb","ChlFluor","n","Date","Cond_High","Temp.HOBO","Sp.Cond","Sal.HOBO","season","Temp.diff","Temp_pred","Sal_pred","Alk","Alk_pred"
"19","2021-07-19 18:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.8458333333333,31.7458333333333,112.395833333333,7.775,1.06416666666667,7.9875,3.625,5.24166666666667,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1946.52663139658,1989.70729218596
"20","2021-07-20 00:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.475,31.8083333333333,106.516666666667,7.425,1.15125,7.975,3.125,5.40416666666667,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1981.21838128196,1998.94760942839
"21","2021-07-20 06:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.5083333333333,31.1041666666667,93.7875,6.55,0.803333333333333,7.89583333333333,3.33333333333333,6.29583333333333,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1896.31246589646,1926.44050522435
"22","2021-07-20 12:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.5416666666667,31.5333333333333,108.204166666667,7.5375,1.00458333333333,7.95833333333333,3.91666666666667,3.80833333333333,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1944.09961075502,1970.2221918689
"23","2021-07-20 18:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,25.4541666666667,31.5833333333333,123.908333333333,8.49583333333333,0.99875,8,3.91666666666667,5.2625,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1882.59493189141,1968.3954357993
"24","2021-07-21 00:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.7333333333333,31.7791666666667,111.5625,7.72916666666667,1.26666666666667,7.99583333333333,2.875,4.725,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1958.73387613605,1993.98528081034
"25","2021-07-21 06:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.825,31.3583333333333,98.5208333333333,6.8375,0.7625,7.90416666666667,3.54166666666667,5.84166666666667,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1902.69518479569,1950.10562539326
"26","2021-07-21 12:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,24.8916666666667,31.6666666666667,108.9875,7.54583333333333,1.05041666666667,7.97916666666667,3.33333333333333,3.2,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1933.87431292378,1981.23473253526
"27","2021-07-21 18:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,25.8666666666667,31.675,123.870833333333,8.425,0.973333333333333,8.02916666666667,3.08333333333333,3.97083333333333,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1862.87759735352,1974.65613656713
"28","2021-07-22 00:00:00 EDT",NA,NA,NA,NA,NA,NA,NA,NA,25.1375,31.8041666666667,112.675,7.7625,1.38625,8,2.375,5.3,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,1931.82621618271,1993.46900003017
