"","jour.1","E.1","V.1","Er.1","DFM.1","L.1","e.1","PM.1","Pc1.1","f.1","Pg.1","Pa.1","Temp.1","cT.1","Xnum.1","Pl1.1","Pl2.1","Pm1.1","Pj.1","Pr.1","jour.2","E.2","V.2","Er.2","DFM.2","L.2","e.2","PM.2","Pc1.2","f.2","Pg.2","Pa.2","Temp.2","cT.2","Xnum.2","Pl1.2","Pl2.2","Pm1.2","Pj.2","Pr.2","jour.3","E.3","V.3","Er.3","DFM.3","L.3","e.3","PM.3","Pc1.3","f.3","Pg.3","Pa.3","Temp.3","cT.3","Xnum.3","Pl1.3","Pl2.3","Pm1.3","Pj.3","Pr.3"
"1",1,10.6508233450145,0.109562989161802,0,0.0104040783788997,1.5,0.117767687080903,1.1557853626386,4.05095090834249e-07,0.291194375156983,0,10.6508227501096,292.6653125,0.982226959065856,19262,1.44473121682968,0,3.89174853764463e-07,0.0472804879272373,0,1,14.8190347990006,0.0490528741810814,0,0.00517083188032797,1.14394420198621,0.365984164979899,0.481124509025517,7.91021246480454,0.291194375156983,7.1182166059122,5.9379520256611,292.6653125,0.982226959065856,19262,0,0,0.481124509025517,0.0196816833607815,0.291189666506037,1,9.20636509537727,0.0533467077856224,0,0.0052709162055722,1.17639335476974,0.209067924356036,0.548480255410872,2.69595642681341,0.291194375156983,2.04152508382877,6.47996056116668,292.6653125,0.982226959065856,19262,0,0,0.548480255410872,0.0224370501068463,0.0835140374669208
"2",2,42.3259438478341,0.110775020803883,0,0.0121292388033614,1.50082700346801,0.462883444223903,1.1473864863039,4.17173015677477,0.984158415841584,2.86039467530963,35.8468506595944,292.7134375,0.984247295600781,19263,0,0,1.1473864863039,0.0469369094532561,0.117012085707992,2,28.7922660964039,0.0516870854941323,0,0.00612083086265577,1.16406537050275,0.674839725271382,0.51370088914442,7.00576619958815,0.984158415841584,6.21673869879992,20.9789974969915,292.7134375,0.984247295600781,19263,0,0,0.51370088914442,0.0210143072170039,0.25431230442681,2,26.9505640122347,0.0549181602731041,0,0.00631766320071379,1.1878328957126,0.594509384991552,0.55866759450705,4.4418605859934,0.984158415841584,3.70862787045681,22.1860595028508,292.7134375,0.984247295600781,19263,0,0,0.55866759450705,0.0228537904279453,0.151711330601596
"3",3,37.5253237900357,0.116244280411549,0,0.0123765425732658,1.5251312486223,0.391074673590986,1.14159575340973,14.6237622853163,0.272053600603196,12.9074526740936,9.8231422275179,292.3671875,0.968565234187877,19264,0,0,1.14159575340973,0.0467000240543377,0.528013833758592,3,22.6502311937949,0.0563672368510487,0,0.00622867535709412,1.19818975998525,0.486802421517905,0.532663021663442,12.0514418902741,0.272053600603196,11.0451572023228,5.90940698766503,292.3671875,0.968565234187877,19264,0,0,0.532663021663442,0.0217900039048332,0.451831662382937,3,21.798213689069,0.0592805608078101,0,0.00644740423234929,1.21848668982749,0.445466899048137,0.565960972951159,11.3055337096466,0.272053600603196,10.2952652619063,6.15318338648088,292.3671875,0.968565234187877,19264,0,0,0.565960972951159,0.0231521455573858,0.421155329231726
"4",4,60.4774068888621,0.120909938205591,0,0.0139674764226288,1.54526874812695,0.605951687016696,1.16496835741017,12.6740093175278,0.982532751091703,11.0109523939388,35.6260924163542,291.870729166667,0.941891565656024,19265,0,0,1.16496835741017,0.047656142860643,0.450432423318198,4,35.1935299117121,0.0599729838321405,0,0.00719315680569428,1.2232124909911,0.710908993836569,0.564897017673759,9.44567491730019,0.982532751091703,8.50956287537653,21.9889736352174,291.870729166667,0.941891565656024,19265,0,0,0.564897017673759,0.0231086216244184,0.348106402625479,4,35.4901926305723,0.062712164726697,0,0.00745481893920744,1.24155878074077,0.685588305593849,0.594093552870985,9.04827605021762,0.982532751091703,8.09858524857308,22.7402549917209,291.870729166667,0.941891565656024,19265,0,0,0.594093552870985,0.0243029838948993,0.331294264878653
"5",5,51.3800765881853,0.127750106472409,0,0.0141189420615059,1.57387575498317,0.487237059082669,1.15085578423159,18.0010959653602,0.251850370132263,16.1427971096899,8.90376566468342,291.125729166667,0.894576072248368,19266,0,0,1.15085578423159,0.0470788303531814,0.660364241085474,5,27.9462090449252,0.0649524619273453,0,0.0072715485655491,1.25617041467343,0.521235663549442,0.570840216818956,12.8264895612599,0.251850370132263,11.7515683046834,5.57916869447295,291.125729166667,0.894576072248368,19266,0,0,0.570840216818956,0.023351744062647,0.480729295694866,5,28.4046531327837,0.067683376145173,0,0.00754072084963617,1.27353443686765,0.508410267905953,0.59691253331619,12.8333209960649,0.251850370132263,11.7320589476033,5.74778149827631,291.125729166667,0.894576072248368,19266,0,0,0.59691253331619,0.0244183018208871,0.479931213324463
"6",6,70.2587546826856,0.133117751924404,0,0.0155652280141497,1.59561709257297,0.639398053327386,1.12377438096456,14.3555924301799,0.980535279805353,12.6676432667093,33.2342705246802,290.1875,0.826753854570035,19267,0,0,1.12377438096456,0.0459709932048579,0.518203789301213,6,39.4518033984343,0.0686449355227742,0,0.00819089130921469,1.27953701979462,0.696249979551568,0.571364789510299,9.66545485034102,0.980535279805353,8.71423768521232,21.1710492038501,290.1875,0.826753854570035,19267,0,0,0.571364789510299,0.0233732031099769,0.356479172508425,6,40.4380751415481,0.0713907104892111,0,0.00848833104308757,1.296374828225,0.686207732275434,0.595387716139088,9.7269665536264,0.980535279805353,8.74930905192979,21.7603885623907,290.1875,0.826753854570035,19267,0,0,0.595387716139088,0.0243559251007247,0.357913860456793
"7",7,61.529711784576,0.138971397257177,0,0.0156466967625631,1.61867066593484,0.536372240692675,0.971532502270625,15.3910018607408,0.230493697171504,13.8146029853431,6.66195896263129,288.371041666667,0.685929895766116,19268,0,0,0.971532502270625,0.0397431324442964,0.565123240682818,7,33.1498058865616,0.0727419630070326,0,0.00823809329749832,1.30450283495021,0.552081010882558,0.500990927299608,10.5860058188294,0.230493697171504,9.66898486284975,4.28400830695674,288.371041666667,0.685929895766116,19268,0,0,0.500990927299608,0.0204943722732118,0.395535656406782,7,34.0951695913431,0.0755420988274805,0,0.00853833836341932,1.32103108577669,0.546777512296813,0.521030400512237,10.7404047869555,0.230493697171504,9.79727647831588,4.39749923675045,288.371041666667,0.685929895766116,19268,0,0,0.521030400512237,0.0213141404602174,0.400783767667132
"8",8,75.3996674958277,0.143595941077415,0,0.016770556507979,1.63642991372033,0.636112753856548,0.912794892242661,12.3105218153479,0.978021978021978,10.9139234157621,26.1804775265996,287.472604166667,0.617314032419708,19269,0,0,0.912794892242661,0.0373403135891918,0.446463193753981,8,41.9794343911947,0.0758670967678547,0,0.00896984658620869,1.32292282633568,0.670332003616033,0.477785311186363,8.17435306206559,0.978021978021978,7.37531567554005,17.0039815666986,287.472604166667,0.617314032419708,19269,0,0,0.477785311186363,0.0195450845525388,0.301706990786639,8,43.2169874335319,0.0787170107627077,0,0.0092894793070892,1.33928463445033,0.665108859505619,0.49617722293897,8.31577952542447,0.978021978021978,7.49279216713631,17.4375973676133,287.472604166667,0.617314032419708,19269,0,0,0.49617722293897,0.0202974548365791,0.306512680512602
"9",9,65.9381954046604,0.149501446325388,0,0.0168193238123799,1.65856241581968,0.534316394198973,1.01129070612568,15.5597825453758,0.207881900655629,13.9369923852169,6.09831045420852,288.0596875,0.661899760422427,19270,0,0,1.01129070612568,0.0413695479866129,0.570129906046657,9,35.3737165980524,0.0799521342175389,0,0.0090004735386628,1.34625307638423,0.535990963202555,0.534302636177617,10.5912262073824,0.207881900655629,9.64068838125469,3.98550841424012,288.0596875,0.661899760422427,19270,0,0,0.534302636177617,0.0218570767167486,0.394378113233381,9,36.5147030026887,0.0828732333607567,0,0.00932158605362569,1.36245274899327,0.533777576761214,0.554373478811662,10.7869874156419,0.207881900655629,9.8086853313955,4.08470298479867,288.0596875,0.661899760422427,19270,0,0,0.554373478811662,0.0226781281537403,0.401250477280986
"10",10,82.7844539219303,0.155109295484528,0,0.0181835332222775,1.67904613781075,0.646573349303663,1.14016617589716,14.9627252955839,0.974763406940063,13.2345240155703,31.8089838128538,288.767395833333,0.716772163829609,19271,0,0,1.14016617589716,0.0466415433670849,0.541393560749364,10,46.4692469693656,0.0837083407254167,0,0.00990463061270412,1.36701390707761,0.67251772949948,0.609751419576383,9.86197437094638,0.974763406940063,8.8646473585918,20.9575047422596,288.767395833333,0.716772163829609,19271,0,0,0.609751419576383,0.0249435107623107,0.362632082015882,10,47.9130464616707,0.0867032844648419,0,0.0102478387886557,1.38312640215899,0.669460677347394,0.632029053147166,10.0665656904217,0.974763406940063,9.03892060564096,21.4649091494037,288.767395833333,0.716772163829609,19271,0,0,0.632029053147166,0.0258548368779886,0.369761194755584
"11",11,69.9181183732579,0.162524013481609,0,0.0181944121507559,1.70538537610368,0.521169545944056,1.28616366806326,19.5533445832962,0.183900986179041,17.4987344731094,6.68700903462389,289.5690625,0.779321726743095,19272,0,0,1.28616366806326,0.0526139608149121,0.71583248130863,11,37.5468778471377,0.0888506930937704,0,0.00991221941145656,1.39445218881354,0.511940922215948,0.694108152696947,13.3549076111289,0.183900986179041,12.1359515893146,4.43253848890102,289.5690625,0.779321726743095,19272,0,0,0.694108152696947,0.0283943482887374,0.496453520828627,11,38.8282412828402,0.0919440236486632,0,0.0102559948468919,1.41045052498344,0.511600606842417,0.718942175786984,13.6224488910225,0.183900986179041,12.3681444738184,4.53764371219199,289.5690625,0.779321726743095,19272,0,0,0.718942175786984,0.0294102503470683,0.505951991070117
