"","x"
"1",8.1741691455245
"2",8.07748650759459
"3",8.19907224923372
"4",8.44151128828526
"5",8.76378674805164
"6",8.18076114356518
"7",8.02841274440289
"8",8.2459486797452
"9",8.09213539212942
"10",7.28644674271345
"11",7.31281473487616
"12",7.75374615937471
"13",8.21591846644878
"14",8.7227698713541
"15",8.72716453671455
"16",8.38511308282614
"17",8.20493180304766
"18",8.08774072676897
"19",7.65486618876457
"20",7.5186315625906
"21",7.88119145482779
"22",8.00277719646692
"23",7.46662802249193
"24",7.20954009890556
"25",7.39704582095146
"26",7.74056216329336
"27",7.8621479049325
"28",7.72078616917133
"29",7.68489640206099
"30",7.57209999114275
"31",7.28058718889952
"32",7.15680411458015
"33",7.01397749036551
"34",6.8228095471859
"35",6.56425673514605
"36",6.38187812268734
"37",6.32181769609451
"38",6.46098209917545
"39",6.52031008154154
"40",6.35404524207115
"41",6.10501420497894
"42",5.63917967677116
"43",5.38355664163828
"44",5.24439223855734
"45",4.98144476115704
"46",4.70824306458235
"47",4.63719597458839
"48",4.61082798242569
"49",4.78514970839024
"50",4.76610615849495
"51",4.73094883561134
"52",4.78734704107046
"53",4.84887235611677
"54",4.86205635219812
"55",5.07300028949976
"56",5.04077274352312
"57",4.94555499404669
"58",4.47386091202497
"59",4.17209389060736
"60",4.37498094141483
"61",4.5478377789259
"62",4.96826076507568
"63",5.10229805856943
"64",4.9492172151804
"65",5.01879941672087
"66",5.0385754108429
"67",5.25098423659801
"68",5.46119572967291
"69",5.34986420720816
"70",5.30957977473736
"71",5.20557269454002
"72",5.18359936773777
"73",5.15942870825529
"74",5.05761896073818
"75",5.01001008599997
"76",4.97119054198265
"77",4.79760126024485
"78",4.82689902931452
"79",4.82103947550058
"80",4.7932065948844
"81",4.89794611930847
"82",5.00048831105232
"83",5.04077274352312
"84",5.1052278354764
"85",5.10376294702291
"86",5.05761896073818
"87",5.01147497445345
"88",4.96606343239546
"89",4.91625722497702
"90",4.90820033848286
"91",4.9089327827096
"92",4.88695945590734
"93",4.85180213302374
"94",4.89867856353521
"95",4.90307322889566
"96",4.85399946570396
"97",4.82689902931452
"98",4.89428389817476
"99",4.89355145394802
"100",4.86645101755857
"101",5.01953186094761
"102",5.25757623463869
"103",5.29566333442926
"104",5.33960998803377
"105",5.43775751441717
"106",5.46412550657988
"107",5.52125615626574
"108",5.56007570028305
"109",5.58790858089924
"110",5.64064456522465
"111",5.63478501141071
"112",5.55494859069586
"113",5.44801173359156
"114",5.38795130699873
"115",5.59083835780621
"116",5.66554766893387
"117",5.61207924038172
"118",5.67360455542803
"119",5.78420363366604
"120",5.72487565129995
"121",5.71388898789883
"122",5.76662497222424
"123",5.8186285123229
"124",5.78786585479975
"125",5.69484543800354
"126",5.5329752638936
"127",5.63917967677116
"128",5.75124364346266
"129",5.73879209160805
"130",5.73073520511389
"131",5.79592274129391
"132",5.76589252799749
"133",5.83620717376471
"134",5.97610402107239
"135",6.12405775487423
"136",6.23978394269943
"137",6.18338573724031
"138",5.96877957880497
"139",5.53151037544012
"140",5.33228554576635
"141",5.23926512897015
"142",5.23560290783644
"143",5.30664999783039
"144",5.36744286864996
"145",5.36304820328951
"146",5.3366802111268
"147",5.42017885297537
"148",5.54762414842844
"149",5.54542681574821
"150",5.62819301337004
"151",5.73146764934063
"152",5.82888273149729
"153",6.02591022849083
"154",6.20902128517628
"155",6.18924529105425
"156",6.15115819126368
"157",6.12845242023468
"158",6.18265329301357
"159",6.31522569805384
"160",6.38041323423386
"161",6.32987458258867
"162",6.35404524207115
"163",6.37015901505947
"164",6.39286478608847
"165",6.43095188587904
"166",6.4163030013442
"167",6.63017671555281
"168",6.83013398945332
"169",6.88433486223221
"170",6.89678641408682
"171",7.01837215572596
"172",7.17584766447544
"173",7.22785120457411
"174",7.27472763508558
"175",7.25934630632401
"176",7.2329783141613
"177",7.12457656860352
"178",7.07550280541182
"179",6.86602375656366
"180",6.75615712255239
"181",6.61333049833775
"182",6.43388166278601
"183",6.49394208937883
"184",6.4075136706233
"185",6.39066745340824
"186",6.39506211876869
"187",6.32767724990845
"188",6.40678122639656
"189",6.47563098371029
"190",6.38700523227453
"191",6.29691459238529
"192",6.24417860805988
"193",6.2112186178565
"194",6.23905149847269
"195",6.42875455319881
"196",6.50639364123344
"197",6.48295542597771
"198",6.53495896607637
"199",6.54448074102402
"200",6.46903898566961
"201",6.50419630855322
"202",6.58403272926807
"203",6.65068515390158
"204",6.62871182709932
"205",6.62724693864584
"206",6.8806726410985
"207",6.90997041016817
"208",6.83819087594748
"209",6.81548510491848
"210",6.61406294256449
"211",6.63896604627371
"212",6.58183539658785
"213",6.55546740442514
"214",6.53276163339615
"215",6.52323985844851
"216",6.44193854928017
"217",6.35477768629789
"218",6.44633321464062
"219",6.14969330281019
"220",5.76442763954401
"221",5.62013612687588
"222",5.57399214059114
"223",5.75270853191614
"224",6.00393690168858
