Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2012.45,0.053,0.139,0.053,0.159,-0.081,0.117,0.056,0.199
2012.54,0.056,0.142,0.056,0.160,-0.079,0.119,0.061,0.202
2012.62,0.059,0.145,0.059,0.161,-0.077,0.122,0.065,0.205
2012.71,0.062,0.148,0.062,0.162,-0.076,0.125,0.069,0.208
2012.79,0.065,0.151,0.065,0.163,-0.074,0.127,0.074,0.211
2012.87,0.069,0.154,0.068,0.164,-0.072,0.130,0.078,0.214
2012.96,0.072,0.158,0.071,0.165,-0.070,0.133,0.082,0.217
2013.04,0.075,0.161,0.074,0.166,-0.069,0.135,0.087,0.221
2013.12,0.078,0.164,0.077,0.167,-0.067,0.138,0.091,0.224
2013.20,0.081,0.167,0.080,0.167,-0.065,0.141,0.095,0.227
2013.29,0.084,0.170,0.083,0.168,-0.063,0.144,0.100,0.230
2013.37,0.087,0.174,0.086,0.169,-0.062,0.147,0.104,0.233
2013.45,0.090,0.177,0.089,0.170,-0.060,0.149,0.108,0.236
2013.54,0.093,0.180,0.092,0.171,-0.058,0.152,0.113,0.239
2013.62,0.096,0.183,0.095,0.172,-0.057,0.155,0.117,0.242
2013.71,0.099,0.186,0.098,0.173,-0.055,0.158,0.121,0.245
2013.79,0.102,0.189,0.101,0.174,-0.053,0.161,0.125,0.248
2013.87,0.105,0.193,0.104,0.175,-0.052,0.164,0.129,0.252
2013.96,0.108,0.196,0.106,0.176,-0.050,0.166,0.134,0.255
2014.04,0.110,0.199,0.109,0.176,-0.049,0.169,0.138,0.258
2014.12,0.113,0.202,0.112,0.177,-0.047,0.172,0.142,0.261
2014.20,0.116,0.205,0.114,0.178,-0.046,0.175,0.146,0.264
2014.29,0.119,0.209,0.117,0.179,-0.044,0.178,0.150,0.267
2014.37,0.121,0.212,0.120,0.180,-0.043,0.181,0.154,0.270
2014.45,0.124,0.215,0.122,0.181,-0.042,0.184,0.158,0.274
2014.54,0.127,0.218,0.125,0.182,-0.040,0.187,0.161,0.277
2014.62,0.129,0.221,0.127,0.183,-0.039,0.189,0.165,0.280
2014.71,0.132,0.225,0.130,0.184,-0.038,0.192,0.169,0.283
2014.79,0.134,0.228,0.132,0.185,-0.037,0.195,0.173,0.286
2014.87,0.137,0.231,0.134,0.186,-0.035,0.198,0.176,0.290
2014.96,0.139,0.234,0.137,0.186,-0.034,0.201,0.180,0.293
2015.04,0.141,0.237,0.139,0.187,-0.033,0.204,0.183,0.296
2015.12,0.144,0.241,0.141,0.188,-0.033,0.207,0.187,0.299
2015.20,0.146,0.244,0.143,0.189,-0.032,0.209,0.190,0.303
2015.29,0.148,0.247,0.145,0.190,-0.031,0.212,0.193,0.306
2015.37,0.150,0.250,0.147,0.191,-0.030,0.215,0.197,0.309
2015.45,0.152,0.254,0.149,0.192,-0.030,0.218,0.200,0.312
2015.54,0.154,0.257,0.150,0.193,-0.029,0.221,0.203,0.316
2015.62,0.156,0.260,0.152,0.194,-0.029,0.223,0.205,0.319
2015.71,0.157,0.263,0.154,0.195,-0.029,0.226,0.208,0.322
2015.79,0.159,0.267,0.155,0.195,-0.028,0.229,0.211,0.326
2015.87,0.160,0.270,0.157,0.196,-0.028,0.232,0.213,0.329
2015.96,0.162,0.273,0.158,0.197,-0.028,0.234,0.216,0.332
2016.04,0.163,0.277,0.159,0.197,-0.028,0.237,0.218,0.336
2016.12,0.164,0.279,0.160,0.197,-0.027,0.240,0.221,0.338
2016.20,0.165,0.281,0.161,0.196,-0.025,0.243,0.223,0.340
2016.29,0.166,0.284,0.161,0.195,-0.024,0.246,0.226,0.342
2016.37,0.167,0.286,0.162,0.194,-0.022,0.249,0.229,0.344
2016.45,0.168,0.288,0.163,0.193,-0.021,0.252,0.231,0.345
2016.54,0.169,0.290,0.163,0.192,-0.020,0.254,0.234,0.347
2016.62,0.170,0.292,0.164,0.191,-0.018,0.257,0.237,0.349
2016.71,0.171,0.295,0.164,0.190,-0.016,0.260,0.239,0.351
2016.79,0.172,0.297,0.165,0.188,-0.015,0.263,0.242,0.353
2016.87,0.173,0.299,0.165,0.187,-0.013,0.266,0.245,0.355
2016.96,0.174,0.301,0.166,0.186,-0.012,0.269,0.247,0.356
2017.04,0.175,0.303,0.166,0.185,-0.010,0.272,0.250,0.358
2017.12,0.176,0.305,0.167,0.184,-0.008,0.275,0.252,0.360
2017.20,0.177,0.307,0.167,0.183,-0.006,0.278,0.255,0.362
2017.29,0.178,0.308,0.168,0.182,-0.004,0.280,0.258,0.363
2017.37,0.179,0.310,0.168,0.180,-0.002,0.283,0.261,0.365
2017.45,0.180,0.312,0.169,0.179,0.000,0.286,0.263,0.366
2017.54,0.181,0.314,0.169,0.178,0.002,0.289,0.266,0.368
2017.62,0.182,0.316,0.170,0.177,0.004,0.292,0.269,0.370
2017.71,0.183,0.317,0.170,0.176,0.006,0.294,0.272,0.371
2017.79,0.184,0.319,0.170,0.175,0.008,0.297,0.274,0.373
2017.87,0.185,0.321,0.171,0.173,0.010,0.300,0.277,0.374
2017.96,0.186,0.323,0.171,0.172,0.012,0.303,0.280,0.375
2018.04,0.187,0.324,0.172,0.171,0.014,0.306,0.283,0.377
2018.12,0.188,0.326,0.172,0.170,0.017,0.308,0.286,0.378
2018.20,0.189,0.327,0.172,0.169,0.019,0.311,0.289,0.380
2018.29,0.190,0.329,0.173,0.168,0.022,0.314,0.292,0.381
2018.37,0.191,0.330,0.173,0.166,0.024,0.316,0.294,0.382
2018.45,0.192,0.332,0.174,0.165,0.027,0.319,0.297,0.384
2018.54,0.193,0.333,0.174,0.164,0.029,0.322,0.300,0.385
2018.62,0.194,0.334,0.175,0.163,0.032,0.325,0.303,0.386
2018.71,0.195,0.336,0.175,0.162,0.034,0.327,0.306,0.387
2018.79,0.195,0.337,0.175,0.161,0.037,0.330,0.309,0.388
2018.87,0.196,0.338,0.176,0.160,0.040,0.333,0.312,0.389
2018.96,0.197,0.339,0.176,0.159,0.042,0.335,0.315,0.391
2019.04,0.198,0.341,0.176,0.158,0.045,0.338,0.318,0.392
2019.12,0.199,0.342,0.177,0.157,0.048,0.341,0.321,0.393
2019.20,0.199,0.343,0.177,0.156,0.051,0.343,0.324,0.394
2019.29,0.200,0.344,0.178,0.155,0.053,0.346,0.328,0.395
