Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2035.71,0.684,0.407,0.320,0.122,0.547,0.379,0.617,0.375
2035.79,0.688,0.408,0.322,0.122,0.550,0.379,0.617,0.375
2035.87,0.693,0.409,0.325,0.122,0.553,0.379,0.616,0.376
2035.96,0.697,0.411,0.328,0.122,0.556,0.378,0.616,0.376
2036.04,0.702,0.412,0.330,0.123,0.559,0.378,0.616,0.376
2036.12,0.707,0.414,0.333,0.123,0.562,0.378,0.615,0.377
2036.20,0.711,0.415,0.336,0.124,0.565,0.378,0.615,0.377
2036.29,0.716,0.416,0.339,0.125,0.568,0.378,0.615,0.377
2036.37,0.720,0.418,0.342,0.126,0.571,0.378,0.614,0.377
2036.45,0.725,0.419,0.346,0.126,0.574,0.378,0.614,0.377
2036.54,0.730,0.420,0.349,0.127,0.577,0.378,0.614,0.378
2036.62,0.734,0.422,0.352,0.129,0.580,0.378,0.613,0.378
2036.71,0.739,0.423,0.356,0.130,0.583,0.378,0.613,0.378
2036.79,0.743,0.424,0.359,0.131,0.586,0.379,0.612,0.378
2036.87,0.747,0.425,0.363,0.132,0.589,0.379,0.612,0.378
2036.96,0.752,0.427,0.366,0.134,0.592,0.379,0.612,0.379
2037.04,0.756,0.428,0.370,0.135,0.595,0.380,0.611,0.379
2037.12,0.761,0.429,0.374,0.137,0.598,0.380,0.611,0.379
2037.20,0.765,0.430,0.377,0.139,0.601,0.380,0.610,0.379
2037.29,0.769,0.432,0.381,0.140,0.604,0.381,0.610,0.379
2037.37,0.774,0.433,0.385,0.142,0.607,0.381,0.610,0.379
2037.45,0.778,0.434,0.390,0.144,0.610,0.382,0.609,0.379
2037.54,0.782,0.435,0.394,0.146,0.613,0.382,0.609,0.379
2037.62,0.786,0.436,0.398,0.148,0.616,0.383,0.609,0.379
2037.71,0.791,0.438,0.402,0.150,0.619,0.384,0.608,0.379
2037.79,0.795,0.439,0.407,0.152,0.622,0.384,0.608,0.379
2037.87,0.799,0.440,0.411,0.155,0.625,0.385,0.608,0.379
2037.96,0.803,0.441,0.416,0.157,0.628,0.386,0.607,0.379
2038.04,0.807,0.442,0.420,0.159,0.631,0.386,0.607,0.378
2038.12,0.811,0.444,0.425,0.161,0.634,0.387,0.607,0.378
2038.20,0.815,0.445,0.430,0.164,0.637,0.388,0.607,0.378
2038.29,0.819,0.446,0.434,0.166,0.639,0.388,0.606,0.378
2038.37,0.823,0.447,0.439,0.169,0.642,0.389,0.606,0.378
2038.45,0.827,0.448,0.444,0.171,0.645,0.390,0.606,0.377
2038.54,0.831,0.449,0.449,0.174,0.648,0.391,0.606,0.377
2038.62,0.835,0.450,0.454,0.176,0.651,0.391,0.606,0.377
2038.71,0.839,0.451,0.459,0.179,0.654,0.392,0.606,0.376
2038.79,0.843,0.452,0.464,0.181,0.656,0.393,0.605,0.376
2038.87,0.846,0.453,0.469,0.184,0.659,0.393,0.605,0.376
2038.96,0.850,0.454,0.474,0.186,0.662,0.394,0.605,0.375
2039.04,0.854,0.455,0.479,0.189,0.665,0.395,0.605,0.375
2039.12,0.858,0.456,0.485,0.191,0.667,0.396,0.605,0.375
2039.20,0.861,0.457,0.490,0.194,0.670,0.396,0.605,0.374
2039.29,0.865,0.458,0.495,0.197,0.673,0.397,0.605,0.374
2039.37,0.869,0.458,0.500,0.199,0.676,0.398,0.605,0.374
2039.45,0.872,0.459,0.505,0.202,0.678,0.398,0.605,0.373
2039.54,0.876,0.460,0.511,0.205,0.681,0.399,0.606,0.373
2039.62,0.880,0.460,0.516,0.207,0.684,0.400,0.606,0.372
2039.71,0.883,0.461,0.521,0.210,0.686,0.400,0.606,0.372
2039.79,0.887,0.461,0.526,0.213,0.689,0.401,0.606,0.372
2039.87,0.890,0.462,0.531,0.215,0.692,0.401,0.607,0.371
2039.96,0.894,0.462,0.536,0.218,0.694,0.402,0.607,0.371
2040.04,0.897,0.462,0.541,0.221,0.697,0.402,0.607,0.371
2040.12,0.901,0.463,0.546,0.223,0.699,0.403,0.608,0.370
2040.20,0.904,0.463,0.551,0.226,0.702,0.403,0.608,0.370
2040.29,0.908,0.463,0.556,0.228,0.704,0.404,0.608,0.370
2040.37,0.911,0.463,0.561,0.231,0.707,0.404,0.609,0.370
2040.45,0.915,0.463,0.566,0.234,0.710,0.405,0.610,0.369
2040.54,0.918,0.463,0.571,0.236,0.712,0.405,0.610,0.369
2040.62,0.921,0.463,0.576,0.239,0.715,0.405,0.611,0.369
2040.71,0.925,0.463,0.581,0.241,0.717,0.406,0.611,0.369
2040.79,0.928,0.463,0.586,0.243,0.720,0.406,0.612,0.369
2040.87,0.931,0.463,0.591,0.246,0.722,0.406,0.613,0.368
2040.96,0.935,0.463,0.595,0.248,0.724,0.406,0.613,0.368
2041.04,0.938,0.463,0.600,0.250,0.727,0.406,0.614,0.368
2041.12,0.941,0.463,0.605,0.252,0.729,0.406,0.615,0.368
2041.20,0.944,0.462,0.609,0.254,0.731,0.406,0.616,0.368
2041.29,0.948,0.462,0.614,0.256,0.734,0.406,0.617,0.368
2041.37,0.951,0.462,0.618,0.258,0.736,0.406,0.618,0.368
2041.45,0.954,0.461,0.623,0.259,0.738,0.406,0.619,0.368
2041.54,0.957,0.461,0.627,0.261,0.741,0.406,0.620,0.368
2041.62,0.960,0.460,0.632,0.263,0.743,0.406,0.621,0.368
2041.71,0.964,0.460,0.636,0.264,0.745,0.406,0.622,0.368
2041.79,0.967,0.459,0.640,0.265,0.747,0.406,0.623,0.368
2041.87,0.970,0.459,0.645,0.267,0.749,0.405,0.624,0.369
2041.96,0.973,0.458,0.649,0.268,0.751,0.405,0.625,0.369
2042.04,0.976,0.457,0.653,0.269,0.753,0.405,0.626,0.369
2042.12,0.979,0.457,0.657,0.270,0.755,0.405,0.627,0.369
2042.20,0.982,0.456,0.661,0.271,0.757,0.404,0.628,0.370
2042.29,0.985,0.455,0.665,0.272,0.759,0.404,0.629,0.370
2042.37,0.988,0.455,0.669,0.272,0.761,0.403,0.630,0.370
2042.45,0.991,0.454,0.673,0.273,0.763,0.403,0.632,0.371
2042.54,0.994,0.453,0.677,0.274,0.765,0.403,0.633,0.371
2042.62,0.997,0.452,0.681,0.274,0.766,0.402,0.634,0.372
2042.71,1.000,0.451,0.685,0.274,0.768,0.402,0.635,0.372
2042.79,1.003,0.450,0.688,0.275,0.770,0.402,0.636,0.373
2042.87,1.005,0.450,0.692,0.275,0.771,0.401,0.638,0.373
2042.96,1.008,0.449,0.696,0.275,0.773,0.401,0.639,0.374
2043.04,1.011,0.448,0.699,0.275,0.775,0.401,0.640,0.374
2043.12,1.014,0.447,0.703,0.275,0.776,0.400,0.641,0.375
2043.20,1.017,0.446,0.706,0.275,0.778,0.400,0.642,0.376
2043.29,1.019,0.445,0.709,0.275,0.779,0.400,0.644,0.377
2043.37,1.022,0.444,0.713,0.275,0.781,0.400,0.645,0.377
2043.45,1.025,0.442,0.716,0.275,0.782,0.399,0.646,0.378
2043.54,1.027,0.441,0.719,0.274,0.784,0.399,0.647,0.379
2043.62,1.030,0.440,0.722,0.274,0.785,0.399,0.648,0.380
2043.71,1.032,0.439,0.726,0.273,0.786,0.399,0.650,0.381
2043.79,1.035,0.438,0.729,0.273,0.788,0.399,0.651,0.382
2043.87,1.037,0.437,0.732,0.272,0.789,0.399,0.652,0.383
2043.96,1.040,0.436,0.735,0.272,0.790,0.400,0.653,0.384
2044.04,1.042,0.434,0.737,0.271,0.791,0.400,0.654,0.385
2044.12,1.045,0.433,0.740,0.270,0.792,0.400,0.655,0.386
2044.20,1.047,0.432,0.743,0.270,0.794,0.401,0.656,0.387
2044.29,1.049,0.431,0.746,0.269,0.795,0.401,0.658,0.388
2044.37,1.051,0.429,0.749,0.268,0.796,0.402,0.659,0.389
2044.45,1.054,0.428,0.751,0.267,0.797,0.402,0.660,0.390
2044.54,1.056,0.427,0.754,0.266,0.798,0.403,0.661,0.392
2044.62,1.058,0.426,0.757,0.265,0.799,0.404,0.662,0.393
2044.71,1.060,0.424,0.759,0.264,0.801,0.405,0.663,0.394
2044.79,1.062,0.423,0.762,0.263,0.802,0.406,0.664,0.395
2044.87,1.064,0.422,0.764,0.262,0.803,0.407,0.665,0.397
2044.96,1.066,0.421,0.767,0.260,0.804,0.408,0.666,0.398
2045.04,1.068,0.419,0.769,0.259,0.804,0.409,0.667,0.400
2045.12,1.070,0.418,0.771,0.258,0.805,0.410,0.668,0.401
2045.20,1.072,0.417,0.774,0.256,0.806,0.412,0.669,0.403
2045.29,1.074,0.415,0.776,0.255,0.807,0.413,0.670,0.404
2045.37,1.076,0.414,0.778,0.253,0.808,0.415,0.672,0.406
2045.45,1.078,0.413,0.781,0.252,0.809,0.417,0.673,0.407
2045.54,1.080,0.412,0.783,0.251,0.810,0.418,0.674,0.409
2045.62,1.082,0.410,0.785,0.249,0.811,0.420,0.675,0.410
2045.71,1.084,0.409,0.787,0.248,0.812,0.422,0.676,0.412
2045.79,1.086,0.408,0.789,0.246,0.813,0.424,0.677,0.414
2045.87,1.088,0.407,0.791,0.244,0.814,0.426,0.678,0.415
2045.96,1.090,0.406,0.792,0.243,0.814,0.429,0.679,0.417
2046.04,1.092,0.404,0.794,0.241,0.815,0.431,0.680,0.419
2046.12,1.093,0.403,0.796,0.240,0.816,0.433,0.681,0.420
2046.20,1.095,0.402,0.797,0.238,0.817,0.436,0.682,0.422
2046.29,1.097,0.401,0.799,0.237,0.818,0.438,0.683,0.424
2046.37,1.099,0.400,0.801,0.235,0.819,0.441,0.684,0.426
2046.45,1.101,0.399,0.802,0.234,0.820,0.443,0.685,0.427
2046.54,1.103,0.398,0.803,0.232,0.820,0.446,0.686,0.429
2046.62,1.105,0.396,0.805,0.231,0.821,0.449,0.687,0.431
2046.71,1.107,0.395,0.806,0.229,0.822,0.452,0.688,0.433
2046.79,1.108,0.394,0.807,0.228,0.823,0.454,0.689,0.434
2046.87,1.110,0.393,0.808,0.226,0.824,0.457,0.690,0.436
2046.96,1.112,0.392,0.809,0.225,0.825,0.460,0.691,0.438
2047.04,1.114,0.391,0.809,0.223,0.825,0.463,0.692,0.440
2047.12,1.116,0.390,0.810,0.222,0.826,0.466,0.693,0.442
2047.20,1.118,0.390,0.811,0.221,0.827,0.469,0.694,0.443
2047.29,1.120,0.389,0.811,0.220,0.828,0.473,0.695,0.445
2047.37,1.121,0.388,0.812,0.219,0.829,0.476,0.696,0.447
2047.45,1.123,0.387,0.812,0.218,0.830,0.479,0.697,0.449
2047.54,1.125,0.386,0.812,0.217,0.831,0.482,0.698,0.450
2047.62,1.127,0.385,0.812,0.216,0.832,0.485,0.698,0.452
2047.71,1.129,0.385,0.812,0.215,0.834,0.488,0.699,0.454
2047.79,1.131,0.384,0.812,0.214,0.835,0.492,0.700,0.456
2047.87,1.133,0.383,0.812,0.214,0.836,0.495,0.701,0.457
2047.96,1.135,0.383,0.812,0.213,0.837,0.498,0.701,0.459
2048.04,1.137,0.382,0.811,0.213,0.838,0.501,0.702,0.461
2048.12,1.139,0.382,0.811,0.212,0.839,0.505,0.703,0.463
2048.20,1.141,0.381,0.810,0.212,0.840,0.508,0.704,0.464
2048.29,1.143,0.381,0.809,0.212,0.841,0.511,0.704,0.466
2048.37,1.145,0.380,0.809,0.211,0.843,0.514,0.705,0.468
2048.45,1.148,0.380,0.808,0.211,0.844,0.517,0.706,0.470
2048.54,1.150,0.380,0.807,0.211,0.845,0.521,0.706,0.471
2048.62,1.152,0.379,0.806,0.211,0.847,0.524,0.707,0.473
2048.71,1.154,0.379,0.805,0.212,0.848,0.527,0.708,0.475
2048.79,1.156,0.379,0.804,0.212,0.849,0.530,0.708,0.477
2048.87,1.158,0.379,0.803,0.212,0.850,0.533,0.709,0.478
2048.96,1.160,0.379,0.801,0.212,0.851,0.536,0.710,0.480
2049.04,1.162,0.379,0.800,0.213,0.853,0.539,0.710,0.482
2049.12,1.164,0.379,0.799,0.213,0.854,0.542,0.711,0.483
2049.20,1.167,0.379,0.797,0.214,0.855,0.545,0.711,0.485
2049.29,1.169,0.379,0.796,0.215,0.856,0.548,0.712,0.486
2049.37,1.171,0.379,0.794,0.215,0.858,0.551,0.713,0.488
2049.45,1.173,0.379,0.793,0.216,0.859,0.553,0.713,0.490
2049.54,1.176,0.380,0.791,0.217,0.860,0.556,0.714,0.491
2049.62,1.178,0.380,0.790,0.218,0.861,0.559,0.714,0.492
2049.71,1.180,0.380,0.788,0.219,0.863,0.562,0.715,0.494
2049.79,1.183,0.381,0.786,0.220,0.864,0.564,0.715,0.495
2049.87,1.185,0.381,0.784,0.221,0.865,0.567,0.716,0.497
2049.96,1.187,0.382,0.782,0.222,0.866,0.569,0.716,0.498
2050.04,1.190,0.383,0.780,0.223,0.867,0.572,0.716,0.499
2050.12,1.192,0.383,0.779,0.224,0.868,0.574,0.717,0.500
2050.20,1.195,0.384,0.777,0.225,0.869,0.576,0.717,0.501
2050.29,1.197,0.385,0.775,0.227,0.870,0.579,0.718,0.502
2050.37,1.200,0.386,0.773,0.228,0.871,0.581,0.718,0.503
2050.45,1.202,0.387,0.771,0.229,0.872,0.583,0.718,0.504
2050.54,1.205,0.388,0.769,0.230,0.873,0.585,0.719,0.505
2050.62,1.207,0.389,0.767,0.232,0.874,0.587,0.719,0.506
2050.71,1.210,0.390,0.765,0.233,0.875,0.590,0.719,0.507
2050.79,1.212,0.391,0.763,0.234,0.876,0.592,0.719,0.508
2050.87,1.215,0.392,0.761,0.236,0.876,0.594,0.720,0.508
2050.96,1.217,0.393,0.758,0.237,0.877,0.595,0.720,0.509
2051.04,1.220,0.395,0.756,0.238,0.878,0.597,0.720,0.509
2051.12,1.223,0.396,0.754,0.239,0.878,0.599,0.720,0.510
2051.20,1.225,0.397,0.752,0.241,0.879,0.601,0.720,0.510
2051.29,1.228,0.399,0.750,0.242,0.880,0.603,0.720,0.510
2051.37,1.231,0.400,0.748,0.243,0.880,0.604,0.720,0.511
2051.45,1.234,0.402,0.746,0.244,0.881,0.606,0.720,0.511
2051.54,1.236,0.403,0.744,0.245,0.881,0.607,0.720,0.511
2051.62,1.239,0.405,0.742,0.246,0.882,0.609,0.720,0.511
2051.71,1.242,0.407,0.740,0.247,0.882,0.611,0.720,0.511
2051.79,1.245,0.409,0.738,0.248,0.882,0.612,0.720,0.511
2051.87,1.248,0.410,0.736,0.249,0.882,0.614,0.719,0.511
2051.96,1.250,0.412,0.734,0.250,0.883,0.615,0.719,0.511
2052.04,1.253,0.414,0.732,0.251,0.883,0.616,0.719,0.510
2052.12,1.256,0.416,0.730,0.252,0.883,0.618,0.718,0.510
2052.20,1.259,0.418,0.729,0.253,0.883,0.619,0.718,0.510
2052.29,1.262,0.420,0.727,0.254,0.883,0.621,0.717,0.509
2052.37,1.265,0.422,0.725,0.254,0.883,0.622,0.717,0.509
2052.45,1.268,0.424,0.723,0.255,0.884,0.623,0.716,0.509
2052.54,1.271,0.426,0.722,0.256,0.884,0.624,0.716,0.508
2052.62,1.274,0.429,0.720,0.256,0.884,0.626,0.715,0.508
2052.71,1.277,0.431,0.718,0.257,0.884,0.627,0.715,0.507
2052.79,1.280,0.433,0.717,0.258,0.884,0.628,0.714,0.506
2052.87,1.283,0.435,0.715,0.258,0.883,0.630,0.714,0.506
2052.96,1.286,0.438,0.713,0.259,0.883,0.631,0.713,0.505
2053.04,1.289,0.440,0.712,0.259,0.883,0.632,0.712,0.505
2053.12,1.292,0.442,0.710,0.259,0.883,0.633,0.711,0.504
2053.20,1.295,0.445,0.709,0.259,0.883,0.634,0.711,0.503
2053.29,1.298,0.447,0.707,0.260,0.883,0.636,0.710,0.502
2053.37,1.302,0.450,0.706,0.260,0.883,0.637,0.709,0.502
2053.45,1.305,0.452,0.704,0.260,0.883,0.638,0.709,0.501
2053.54,1.308,0.455,0.703,0.260,0.883,0.639,0.708,0.500
2053.62,1.311,0.457,0.702,0.260,0.883,0.641,0.707,0.499
2053.71,1.314,0.460,0.701,0.260,0.883,0.642,0.707,0.499
2053.79,1.317,0.462,0.699,0.260,0.883,0.643,0.706,0.498
2053.87,1.320,0.465,0.698,0.260,0.883,0.644,0.705,0.497
2053.96,1.323,0.468,0.697,0.259,0.883,0.645,0.704,0.496
2054.04,1.326,0.470,0.696,0.259,0.883,0.646,0.704,0.495
2054.12,1.329,0.473,0.694,0.259,0.883,0.647,0.703,0.495
2054.20,1.332,0.475,0.693,0.258,0.883,0.649,0.702,0.494
2054.29,1.335,0.478,0.692,0.258,0.884,0.650,0.701,0.493
2054.37,1.338,0.481,0.691,0.257,0.884,0.651,0.701,0.492
2054.45,1.341,0.483,0.690,0.257,0.884,0.652,0.700,0.491
2054.54,1.344,0.486,0.689,0.256,0.885,0.653,0.699,0.490
2054.62,1.347,0.489,0.688,0.256,0.885,0.654,0.699,0.489
2054.71,1.350,0.491,0.687,0.255,0.885,0.655,0.698,0.489
2054.79,1.353,0.494,0.686,0.254,0.886,0.656,0.697,0.488
2054.87,1.356,0.497,0.685,0.253,0.886,0.657,0.697,0.487
2054.96,1.359,0.499,0.685,0.253,0.886,0.658,0.696,0.486
2055.04,1.362,0.502,0.684,0.252,0.887,0.659,0.695,0.485
2055.12,1.365,0.505,0.683,0.251,0.887,0.660,0.694,0.484
2055.20,1.368,0.507,0.682,0.250,0.888,0.661,0.693,0.483
2055.29,1.372,0.510,0.682,0.249,0.889,0.662,0.693,0.483
2055.37,1.375,0.513,0.681,0.249,0.890,0.663,0.692,0.482
2055.45,1.378,0.515,0.680,0.248,0.890,0.664,0.691,0.481
2055.54,1.381,0.518,0.680,0.247,0.891,0.664,0.691,0.480
2055.62,1.384,0.520,0.679,0.246,0.892,0.665,0.690,0.479
2055.71,1.387,0.523,0.679,0.245,0.893,0.666,0.689,0.478
2055.79,1.390,0.525,0.678,0.244,0.894,0.667,0.688,0.478
2055.87,1.393,0.528,0.678,0.244,0.895,0.667,0.687,0.477
2055.96,1.397,0.531,0.678,0.243,0.896,0.668,0.686,0.476
2056.04,1.400,0.533,0.677,0.242,0.897,0.669,0.685,0.475
2056.12,1.403,0.536,0.677,0.241,0.898,0.669,0.684,0.474
2056.20,1.406,0.538,0.677,0.240,0.900,0.670,0.684,0.474
2056.29,1.410,0.540,0.676,0.239,0.901,0.670,0.683,0.473
2056.37,1.413,0.543,0.676,0.239,0.902,0.671,0.682,0.472
2056.45,1.416,0.545,0.676,0.238,0.904,0.671,0.681,0.471
2056.54,1.420,0.548,0.676,0.237,0.905,0.672,0.680,0.471
2056.62,1.423,0.550,0.676,0.236,0.907,0.672,0.679,0.470
2056.71,1.427,0.553,0.676,0.236,0.909,0.672,0.678,0.469
2056.79,1.430,0.555,0.676,0.235,0.910,0.673,0.677,0.468
2056.87,1.434,0.557,0.675,0.234,0.912,0.673,0.676,0.468
2056.96,1.438,0.560,0.675,0.234,0.913,0.673,0.674,0.467
2057.04,1.441,0.562,0.675,0.233,0.915,0.673,0.673,0.466
2057.12,1.445,0.564,0.675,0.233,0.917,0.673,0.672,0.466
2057.20,1.449,0.567,0.675,0.232,0.918,0.673,0.671,0.465
2057.29,1.453,0.569,0.676,0.231,0.920,0.673,0.670,0.464
2057.37,1.457,0.571,0.676,0.231,0.922,0.673,0.669,0.463
2057.45,1.461,0.574,0.676,0.230,0.924,0.673,0.668,0.463
2057.54,1.465,0.576,0.676,0.230,0.926,0.673,0.667,0.462
2057.62,1.469,0.578,0.677,0.230,0.928,0.673,0.666,0.461
2057.71,1.473,0.580,0.677,0.229,0.929,0.673,0.665,0.461
2057.79,1.477,0.583,0.677,0.229,0.931,0.672,0.663,0.460
2057.87,1.481,0.585,0.678,0.228,0.933,0.672,0.662,0.459
2057.96,1.485,0.587,0.678,0.228,0.935,0.672,0.661,0.458
2058.04,1.489,0.589,0.678,0.228,0.936,0.672,0.660,0.458
2058.12,1.494,0.591,0.679,0.227,0.938,0.671,0.659,0.457
2058.20,1.498,0.594,0.680,0.227,0.940,0.671,0.657,0.457
2058.29,1.502,0.596,0.680,0.227,0.942,0.671,0.656,0.456
2058.37,1.507,0.598,0.681,0.227,0.943,0.670,0.655,0.455
2058.45,1.511,0.600,0.682,0.227,0.945,0.670,0.654,0.455
2058.54,1.516,0.602,0.683,0.227,0.947,0.670,0.653,0.454
2058.62,1.520,0.604,0.684,0.227,0.948,0.669,0.652,0.454
2058.71,1.525,0.606,0.685,0.227,0.950,0.669,0.651,0.453
2058.79,1.529,0.608,0.686,0.227,0.951,0.668,0.649,0.453
2058.87,1.534,0.610,0.687,0.227,0.953,0.668,0.648,0.452
2058.96,1.538,0.612,0.688,0.227,0.954,0.668,0.647,0.452
2059.04,1.543,0.613,0.689,0.227,0.956,0.667,0.646,0.451
2059.12,1.548,0.615,0.690,0.227,0.957,0.667,0.644,0.451
2059.20,1.552,0.617,0.691,0.228,0.958,0.667,0.643,0.451
2059.29,1.557,0.619,0.693,0.228,0.959,0.666,0.642,0.450
2059.37,1.562,0.620,0.694,0.228,0.961,0.666,0.641,0.450
2059.45,1.566,0.622,0.696,0.228,0.962,0.666,0.640,0.450
2059.54,1.571,0.623,0.697,0.229,0.963,0.665,0.638,0.450
2059.62,1.576,0.625,0.699,0.229,0.964,0.665,0.637,0.449
2059.71,1.581,0.626,0.701,0.229,0.965,0.665,0.636,0.449
2059.79,1.585,0.628,0.702,0.230,0.966,0.664,0.635,0.449
2059.87,1.590,0.629,0.704,0.230,0.967,0.664,0.634,0.449
2059.96,1.595,0.630,0.706,0.231,0.968,0.664,0.632,0.449
2060.04,1.600,0.631,0.708,0.231,0.968,0.664,0.631,0.449
2060.12,1.604,0.632,0.710,0.231,0.969,0.664,0.630,0.449
2060.20,1.609,0.634,0.712,0.232,0.970,0.664,0.629,0.449
2060.29,1.614,0.635,0.714,0.232,0.971,0.664,0.628,0.449
2060.37,1.619,0.635,0.717,0.233,0.972,0.663,0.627,0.449
2060.45,1.623,0.636,0.719,0.233,0.972,0.663,0.626,0.449
2060.54,1.628,0.637,0.721,0.234,0.973,0.663,0.625,0.449
2060.62,1.633,0.638,0.724,0.234,0.974,0.664,0.624,0.449
2060.71,1.638,0.639,0.726,0.235,0.974,0.664,0.623,0.449
2060.79,1.642,0.639,0.729,0.235,0.975,0.664,0.621,0.450
2060.87,1.647,0.640,0.731,0.236,0.975,0.664,0.620,0.450
2060.96,1.652,0.640,0.734,0.236,0.976,0.664,0.619,0.450
2061.04,1.656,0.641,0.737,0.236,0.976,0.664,0.618,0.450
2061.12,1.661,0.641,0.740,0.237,0.977,0.665,0.617,0.451
2061.20,1.666,0.642,0.743,0.237,0.977,0.665,0.616,0.451
2061.29,1.670,0.642,0.746,0.238,0.978,0.665,0.615,0.451
2061.37,1.675,0.642,0.749,0.238,0.978,0.666,0.614,0.452
2061.45,1.679,0.642,0.752,0.239,0.979,0.666,0.614,0.452
2061.54,1.684,0.643,0.755,0.239,0.979,0.666,0.613,0.452
2061.62,1.689,0.643,0.759,0.240,0.980,0.667,0.612,0.453
2061.71,1.693,0.643,0.762,0.240,0.980,0.667,0.611,0.453
2061.79,1.698,0.643,0.765,0.240,0.981,0.668,0.610,0.454
2061.87,1.702,0.643,0.769,0.241,0.981,0.669,0.609,0.454
2061.96,1.706,0.643,0.772,0.241,0.982,0.669,0.608,0.455
2062.04,1.711,0.643,0.776,0.242,0.982,0.670,0.607,0.455
2062.12,1.715,0.643,0.780,0.242,0.983,0.670,0.606,0.455
2062.20,1.719,0.643,0.783,0.243,0.983,0.671,0.606,0.456
2062.29,1.724,0.643,0.787,0.243,0.984,0.672,0.605,0.456
2062.37,1.728,0.643,0.791,0.243,0.984,0.673,0.604,0.457
2062.45,1.732,0.643,0.795,0.244,0.985,0.673,0.603,0.457
2062.54,1.737,0.643,0.799,0.244,0.986,0.674,0.602,0.457
2062.62,1.741,0.642,0.803,0.244,0.986,0.675,0.602,0.458
2062.71,1.745,0.642,0.807,0.245,0.987,0.676,0.601,0.458
2062.79,1.749,0.642,0.811,0.245,0.987,0.677,0.600,0.459
2062.87,1.753,0.642,0.815,0.245,0.988,0.678,0.599,0.459
2062.96,1.757,0.642,0.819,0.245,0.989,0.679,0.599,0.459
2063.04,1.761,0.642,0.824,0.246,0.989,0.680,0.598,0.459
2063.12,1.765,0.642,0.828,0.246,0.990,0.681,0.597,0.460
2063.20,1.770,0.641,0.832,0.246,0.991,0.682,0.596,0.460
2063.29,1.774,0.641,0.836,0.247,0.992,0.683,0.596,0.460
2063.37,1.778,0.641,0.840,0.247,0.993,0.684,0.595,0.460
2063.45,1.782,0.641,0.845,0.247,0.994,0.685,0.594,0.461
2063.54,1.786,0.641,0.849,0.247,0.995,0.686,0.594,0.461
2063.62,1.790,0.641,0.853,0.248,0.996,0.687,0.593,0.461
2063.71,1.794,0.641,0.858,0.248,0.997,0.689,0.592,0.461
2063.79,1.798,0.641,0.862,0.248,0.998,0.690,0.592,0.461
2063.87,1.802,0.640,0.866,0.249,0.999,0.691,0.591,0.461
2063.96,1.806,0.640,0.870,0.249,1.000,0.692,0.590,0.461
2064.04,1.810,0.640,0.875,0.249,1.001,0.693,0.589,0.461
2064.12,1.814,0.640,0.879,0.249,1.002,0.695,0.589,0.461
2064.20,1.818,0.640,0.883,0.250,1.003,0.696,0.588,0.461
2064.29,1.822,0.640,0.888,0.250,1.004,0.697,0.587,0.461
2064.37,1.826,0.640,0.892,0.250,1.005,0.698,0.586,0.461
2064.45,1.831,0.640,0.896,0.251,1.007,0.699,0.586,0.461
2064.54,1.835,0.640,0.901,0.251,1.008,0.701,0.585,0.461
2064.62,1.839,0.640,0.905,0.252,1.009,0.702,0.584,0.461
2064.71,1.843,0.640,0.909,0.252,1.011,0.703,0.584,0.461
2064.79,1.847,0.640,0.913,0.252,1.012,0.704,0.583,0.461
2064.87,1.851,0.640,0.918,0.253,1.013,0.706,0.582,0.461
2064.96,1.855,0.641,0.922,0.253,1.014,0.707,0.581,0.461
2065.04,1.859,0.641,0.926,0.254,1.016,0.708,0.580,0.461
2065.12,1.864,0.641,0.930,0.254,1.017,0.709,0.580,0.461
2065.20,1.868,0.641,0.935,0.254,1.019,0.710,0.579,0.461
2065.29,1.872,0.641,0.939,0.255,1.020,0.711,0.578,0.461
2065.37,1.876,0.641,0.943,0.255,1.022,0.713,0.577,0.461
2065.45,1.880,0.641,0.948,0.256,1.023,0.714,0.577,0.461
2065.54,1.885,0.642,0.952,0.256,1.024,0.715,0.576,0.460
2065.62,1.889,0.642,0.956,0.256,1.026,0.716,0.575,0.460
2065.71,1.893,0.642,0.961,0.257,1.027,0.717,0.574,0.460
2065.79,1.897,0.642,0.965,0.257,1.029,0.718,0.573,0.460
2065.87,1.901,0.643,0.969,0.258,1.030,0.719,0.573,0.460
2065.96,1.905,0.643,0.973,0.258,1.032,0.720,0.572,0.460
2066.04,1.910,0.643,0.978,0.259,1.033,0.721,0.571,0.460
2066.12,1.914,0.644,0.982,0.259,1.035,0.722,0.570,0.459
2066.20,1.918,0.644,0.986,0.259,1.036,0.723,0.569,0.459
2066.29,1.922,0.645,0.991,0.260,1.037,0.724,0.569,0.459
2066.37,1.926,0.645,0.995,0.260,1.039,0.725,0.568,0.459
2066.45,1.931,0.645,1.000,0.260,1.040,0.726,0.567,0.459
2066.54,1.935,0.646,1.004,0.261,1.042,0.727,0.566,0.458
2066.62,1.939,0.646,1.009,0.261,1.043,0.727,0.566,0.458
2066.71,1.943,0.647,1.013,0.262,1.045,0.728,0.565,0.458
2066.79,1.947,0.647,1.018,0.262,1.046,0.729,0.564,0.458
2066.87,1.951,0.648,1.022,0.262,1.047,0.730,0.563,0.457
2066.96,1.955,0.648,1.027,0.262,1.048,0.731,0.563,0.457
2067.04,1.959,0.649,1.031,0.263,1.050,0.731,0.562,0.457
