"","x"
"1",6.98321483284235
"2",6.5774407312274
"3",6.50712608546019
"4",6.14017152786255
"5",5.96731469035149
"6",5.97537157684565
"7",6.06472977250814
"8",6.03469955921173
"9",5.91897337138653
"10",5.9306924790144
"11",5.89187293499708
"12",5.82888273149729
"13",5.86843471974134
"14",5.92483292520046
"15",5.93655203282833
"16",5.91311381757259
"17",5.54103215038776
"18",5.475112169981
"19",5.34839931875467
"20",5.20996735990047
"21",5.17773981392384
"22",5.163090929389
"23",5.07812739908695
"24",5.00634786486626
"25",4.93603321909904
"26",4.91259500384331
"27",4.86571857333183
"28",4.84667502343655
"29",4.80272836983204
"30",4.59324932098389
"31",4.62108220160007
"32",4.66063418984413
"33",4.64745019376278
"34",4.67674796283245
"35",4.59910887479782
"36",4.43943603336811
"37",4.42112492769957
"38",4.41233559697866
"39",4.38962982594967
"40",4.38816493749619
"41",4.44383069872856
"42",4.39988404512405
"43",4.31711784750223
"44",4.2621845304966
"45",4.16476944833994
"46",3.99557483196259
"47",3.97286906093359
"48",4.05417037010193
"49",4.12082279473543
"50",4.12448501586914
"51",4.13766901195049
"52",4.10397657752037
"53",4.22775965183973
"54",4.26438186317682
"55",4.24021120369434
"56",4.27756585925817
"57",4.36765649914742
"58",4.43504136800766
"59",4.46287424862385
"60",4.29660940915346
"61",4.16183967143297
"62",4.10470902174711
"63",4.19113744050264
"64",4.16550189256668
"65",4.12448501586914
"66",4.18308055400848
"67",4.23654898256063
"68",4.24021120369434
"69",4.2709738612175
"70",4.33616139739752
"71",4.35081028193235
"72",4.32956939935684
"73",4.33542895317078
"74",4.34055606275797
"75",4.33249917626381
"76",4.33616139739752
"77",4.36179694533348
"78",4.37205116450787
"79",4.39255960285664
"80",4.42258981615305
"81",4.49510179460049
"82",4.55003511160612
"83",4.62913908809423
"84",4.67381818592548
"85",4.69359418004751
"86",4.70751062035561
"87",4.71849728375673
"88",4.71996217221022
"89",4.74047061055899
"90",4.74852749705315
"91",4.74047061055899
"92",4.73168127983809
"93",4.73827327787876
"94",4.72948394715786
"95",4.72728661447763
"96",4.73241372406483
"97",4.71703239530325
"98",4.68553729355335
"99",4.6547746360302
"100",4.63353375345469
"101",4.63353375345469
"102",4.6987212896347
"103",4.70165106654167
"104",4.61229287087917
"105",4.54710533469915
"106",4.48777735233307
"107",4.43650625646114
"108",4.40501115471125
"109",4.39915160089731
"110",4.41526537388563
"111",4.4533524736762
"112",4.45481736212969
"113",4.45701469480991
