"","Month","Site","Temp","Temp_SE","Sal","Sal_SE","pH","pH_SE","TCO2","TCO2_SE","TA_meas","TA_meas_SE","pCO2","pCO2_SE","arag.sat","arag_sat_SE"
"1","Sept","Eel",22.9,0,33.2,NA,7.83,0.006,1877,0.6,1980.3,3.7,621.3,9.9,1.84,0.03
"2","Sept","Prov",17.4,0.2,33.4,NA,7.935,0.015,2016.5,10.4,2154.3,1.5,508.3,24.4,2.01,0.09
"3","April","Eel",11.9,0.2,31,NA,7.983,0.009,2004.2,7.2,2204.2,NA,443.7,10.8,1.7,0.04
"4","April","Prov",11.8,0.3,31.7,NA,8.07,NA,1970.1,14.7,2184.8,NA,343.9,NA,2.02,NA
"5","June","Eel",18.7,0.1,31.6,NA,7.839,0.03,1904.9,13.5,2065.8,3,614.8,47.4,1.56,0.1
"6","June","Prov",17.8,0.3,31.1,NA,8.193,0.045,1814.2,18.7,2067.9,2,244.8,30.4,3.08,0.17
