Month,Site,Biodeposition chamber,Treatment,Mesocosm,Clam ID,Length,Height,Dry.weight,AFDW,Duration of collection period,TPM,PIM,POM,Perc_organic,ER,OER,IER,Pseudofaeces TPM,Species standardization coefficient,IER_scaled,OER_scaled,IRR,ORR,RR,p,f,SE,IFR,CR,FR,Perc RR,TIR,OFR,OIR,i,AR,AE,Notes
September,Eel Pond,9,S,H1,BR,25.5,19.6,0.088,0.064,1.66,0.826,0.478,0.348,42.13,0.413,0.210,0.288,,0.76,1.83,1.33,0.00,0.00,0.00,,0.54,,1.83,1.43,3.89,0.00,3.89,2.07,2.07,0.53,0.74,0.36,Less than 2mg TPM (0.8mg) so not very accurate
September,Eel Pond,10,S,H1,L,26.1,20.4,0.131,0.096,2,2.281,1.679,0.602,26.39,1.141,0.301,0.840,,0.76,3.93,1.41,0.00,0.00,0.00,,0.54,,3.93,3.08,8.39,0.00,8.39,4.45,4.45,0.53,3.04,0.68,
April,Provincetown,1,N,A3,,37.5,29.6000,0.727,0.616,0,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,
April,Provincetown,2,N,A3,,37,28.0000,0.749,0.634,2.25,1.476,0.898,0.578,39.16,0.656,0.257,0.399,,0.76,0.50,0.32,0.13,0.19,0.32,0.60,0.77,0.23,0.63,1.28,2.63,12.29,2.30,2.00,1.81,0.78,1.49,0.82,
April,Provincetown,3,S,B2,,37.5,29.2600,0.765,0.651,2.25,1.227,0.660,0.567,46.21,0.545,0.252,0.293,,0.76,0.36,0.31,0.05,0.11,0.16,0.70,0.77,0.10,0.41,0.83,1.70,9.21,1.55,1.30,1.19,0.77,0.88,0.74,
April,Provincetown,4,S,B2,,34.4,28.3000,0.617,0.529,2.25,1.448,0.692,0.756,52.21,0.644,0.336,0.308,,0.76,0.44,0.49,0.15,0.20,0.35,0.57,0.77,0.27,0.60,1.22,2.49,14.07,2.14,1.90,1.70,0.79,1.21,0.71,
April,Provincetown,5,N,C3,,33.2,26.2000,0.511,0.429,2.25,0.914,0.429,0.485,53.06,0.406,0.216,0.191,,0.76,0.32,0.36,-0.08,0.10,0.02,4.86,0.77,-5.27,0.24,0.49,0.99,2.08,0.97,0.76,0.66,0.67,0.30,0.45,
April,Provincetown,6,N,C3,,36.2,28.4000,0.659,0.556,2.25,0.807,0.371,0.436,54.03,0.359,0.194,0.165,,0.76,0.23,0.27,0.14,0.08,0.23,0.37,0.77,0.53,0.37,0.76,1.55,14.70,1.32,1.18,1.10,0.83,0.83,0.76,
April,Provincetown,7,S,D3,,36,27.7000,0.664,0.571,2.25,0.666,0.265,0.401,60.21,0.296,0.178,0.118,,0.76,0.16,0.24,0.07,0.14,0.21,0.68,0.77,0.13,0.23,0.47,0.95,21.74,0.75,0.73,0.59,0.78,0.34,0.58,
April,Provincetown,8,S,D3,,35.7,27.6000,0.591,0.501,2.25,0.848,0.418,0.430,50.71,0.377,0.191,0.186,,0.76,0.28,0.28,0.07,0.28,0.35,0.79,0.77,-0.03,0.35,0.72,1.46,24.17,1.11,1.11,0.83,0.75,0.55,0.66,
April,Provincetown,9,S,E4,,35.4,28.00,0.702,0.600,2.25,0.296,-0.037,0.333,112.50,0.013,0.015,-0.002,,0.76,-0.02,0.19,0.33,0.24,0.57,0.42,0.66,0.37,0.31,0.37,0.91,62.15,0.35,0.61,0.37,1.06,0.17,0.47,
April,Provincetown,10,S,E4,,35.1,27.90,0.611,0.525,2.25,0.393,0.141,0.252,64.12,0.020,0.013,0.007,,0.76,0.09,0.16,0.10,0.22,0.32,0.68,0.66,-0.03,0.19,0.23,0.57,55.47,0.25,0.38,0.16,0.64,0.00,0.00,
April,Provincetown,11,S,F1,,36.2,28.40,0.650,0.578,2.25,0.830,0.439,0.391,47.11,0.041,0.019,0.022,,0.76,0.27,0.24,0.14,0.20,0.34,0.59,0.66,0.12,0.41,0.50,1.22,27.88,0.88,0.81,0.61,0.69,0.37,0.61,
April,Provincetown,12,N,G3,,34.96,27.70,0.572,0.492,2.25,0.361,0.141,0.220,60.94,0.012,0.007,0.005,,0.76,0.10,0.15,0.15,0.28,0.43,0.65,0.66,0.02,0.25,0.30,0.74,58.77,0.30,0.49,0.21,0.68,0.06,0.28,
April,Provincetown,13,N,G3,,38.3,29.50,0.810,0.697,2.25,1.361,0.743,0.618,45.41,0.049,0.022,0.027,,0.76,0.39,0.32,0.06,0.15,0.20,0.72,0.66,-0.08,0.44,0.54,1.32,15.49,1.12,0.88,0.73,0.65,0.41,0.56,
April,Provincetown,14,S,H4,,38.8,30.60,0.907,0.771,2.25,1.130,0.538,0.592,52.39,0.039,0.020,0.018,,0.76,0.26,0.28,0.07,0.16,0.22,0.71,0.66,-0.06,0.32,0.39,0.96,23.05,0.74,0.64,0.48,0.65,0.20,0.41,
April,Provincetown,15,N,I3,,35.8,29.30,35.80,6.5,2.25,0.848,0.486,0.362,42.69,0.030,0.013,0.017,,0.76,0.01,0.01,0.00,0.01,0.01,0.73,0.66,-0.10,0.02,0.02,0.05,25.08,0.04,0.04,0.03,0.64,0.01,0.59,
April,Provincetown,16,N,J2,,37.8,28.90,0.735,0.627,2.25,0.834,0.404,0.430,51.56,0.032,0.016,0.015,,0.76,0.23,0.24,0.04,0.14,0.18,0.77,0.66,-0.16,0.27,0.33,0.80,22.95,0.62,0.53,0.39,0.63,0.15,0.38,
April,Eel Pond,2,N,C1,RY,33.35,26.65,0.4865,0.4032,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,Eel Pond,3,S,D4,RB,29.54,22.5500,0.3118,0.2543,2.417,1.636,1.186,0.450,27.51,5.247,1.443,3.804,,0.76,1.19,0.45,-0.04,0.23,0.19,1.22,0.49,-1.49,1.15,0.93,2.22,8.36,2.03,1.07,0.84,0.42,0.39,0.47,
April,Eel Pond,4,S,D4,Y,29.07,23.2400,0.3217,0.2673,2.417,4.091,3.305,0.786,19.21,12.717,2.443,10.274,,0.76,3.24,0.77,0.25,0.25,0.51,0.50,0.49,-0.02,3.49,2.84,6.74,7.51,6.23,3.25,3.00,0.48,2.23,0.74,
April,Eel Pond,5,S,E3,BL,26.91,21.2200,0.2423,0.1989,2.417,0.680,0.407,0.273,40.15,2.806,1.127,1.680,,0.76,,,,,,,,,,,,,,,,,,,
April,Eel Pond,6,S,J1,Y,28.7,21.8000,0.3055,0.2553,2.417,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,
