Date,Sample ID,Site,Stratum,Water/Sed  Temp,Salinity,pH temp,pH,Field Alkalinity,Lab Alkalinity,Alk,DIC ,Notes,,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),,pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),,pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),,pH,pCO2,Omega Ar
1/18/23,333,Cockle Cove,Bottom water,7.9,32.08,10.8,8.064,2198.91,,2198.91,1933.53,,,8.288,202.2,2.85,,8.112,326.1,2.04,,8.112,312.7,1.96,,8.112,326.1,2.04
2/22/23,380,Cockle Cove,Bottom water,4.2,30.90,4.6,8.031,2080.71,,2080.71,2045.77,,,7.751,754.8,0.77,,8.038,369.2,1.41,,8.038,385.1,1.47,,8.038,369.2,1.41
3/22/23,413,Cockle Cove,Bottom water,5.1,30.84,13.5,7.888,2234.61,,2234.61,2041.28,,,8.198,263.3,2.16,,8.024,414.1,1.52,,8.024,400.8,1.47,,8.024,414.1,1.52
4/20/23,450,Cockle Cove,Bottom water,9.2,30.54,13.2,7.685,2285.52,,2285.52,2072.04,,,8.169,296.0,2.43,,7.744,880.0,1.02,,7.744,817.7,0.95,,7.744,880.0,1.02
5/11/23,488,Cockle Cove,Bottom water,17,31.99,18.7,8.099,2224.69,,2224.69,,,,,,,,8.126,321.8,2.98,,,,,,8.126,321.8,2.98
9/7/21,,East Dennis,Bottom water,21.0,30.50,21.5,7.866,,1998.31,1998.31,1854.80,,,7.853,609.3,1.80,,7.874,577.2,1.87,,7.874,579.6,1.88,,7.874,579.6,1.88
10/10/21,,East Dennis,Bottom water,16.5,30.80,21.8,7.815,,2081.64,2081.64,1935.12,,,7.916,534.2,1.79,,7.896,563.4,1.72,,7.896,561.2,1.71,,7.896,561.2,1.71
11/2/21,,East Dennis,Bottom water,13.5,30.70,20.4,7.592,,2077.79,2077.79,1956.23,,,7.897,556.4,1.53,,7.692,932.8,1.00,,7.692,902.9,0.96,,7.897,556.4,1.53
3/3/22,,East Dennis,Bottom water,3.8,31.60,2.2,8.130,,2174.89,2174.89,2019.17,NBS scale,,8.126,305.1,1.75,,8.106,414.7,1.38,,8.106,406.1,1.35,,8.106,406.1,1.35
4/18/22,,East Dennis,Bottom water,10.8,32.28,22.5,8.087,,2378.52,2378.52,2094.92,,,8.242,250.1,3.16,,8.278,225.8,3.38,,8.278,228.0,3.41,,8.278,228.0,3.41
5/17/22,,East Dennis,Bottom water,14.3,32.12,22.1,7.733,,2295.25,2295.25,2031.35,,,8.162,301.1,2.99,,7.852,687.4,1.63,,7.851,643.4,1.52,,7.852,643.4,1.52
6/17/22,,East Dennis,Bottom water,18.7,32.31,20.2,7.987,,2109.71,2109.71,1977.58,,,7.822,686.8,1.68,,8.011,417.0,2.43,,8.011,434.2,2.53,,7.822,686.8,1.68
6/29/22,,East Dennis,Bottom water,18.5,32.01,18.3,7.627,,2341.01,2341.01,2304.90,,,7.534,1578.7,1.01,,7.624,1263.8,1.22,,7.624,1280.4,1.24,,7.624,1280.4,1.24
7/18/22,142,East Dennis,Bottom water,24.9,31.91,28.9,7.864,,1995.5,1995.5,1939.29,,,7.520,1413.7,1.08,,7.925,493.8,2.44,,7.925,534.9,2.64,,7.925,534.9,2.64
8/14/22,823,East Dennis,Bottom water,20.0,30.08,20.7,7.986,2179.30,,2179.30,2060.66,,,7.786,793.9,1.64,,7.997,455.7,2.48,,7.997,475.7,2.59,,7.997,455.7,2.48
10/26/22,233,East Dennis,Bottom water,16.7,32.49,16.7,7.996,2168.29,,2168.29,2017.24,,,7.894,584.3,1.85,,7.996,445.7,2.26,,7.996,455.5,2.31,,7.996,445.7,2.26
